Timestamp,Which of the following would you like to see discussed at a future meetup:,I am currently employed as a:,Years experience in full-time front end development work:,My current salary is:,I work for:,"In your job, which of the following do you use regularly:"
5/26/2014 20:46:55,"JavaScript Best Practicies, CoffeeScript, Sass, HTML5 Canvas, SVG, WebRTC, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Front End Developer,2-5 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Backbone.js, Angular.js, Node.js, Responsive Design"
5/26/2014 23:39:56,"JavaScript Best Practicies, Sass, WebRTC, Angular.js, Node.js, Responsive Design",Full-stack Developer,5+ years,,A Web Startup,"JavaScript, jQuery, Sass"
5/27/2014 2:27:15,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Node.js, Responsive Design",Looking for a Job,<1 years,"$50,000 - $80,000",A Web Startup,Sass
5/27/2014 8:33:52,"JavaScript Best Practicies, jQuery, HTML5 Canvas, SVG, Responsive Design",Looking for a Job,<1 years,"$30,000 - $50,000",A Web Startup,
5/27/2014 9:52:43,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, SVG, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Front End Developer,<1 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, SVG, Node.js, D3.js, Responsive Design"
5/27/2014 11:09:24,"JavaScript Best Practicies, jQuery, Sass, SVG, Node.js, D3.js",Front End Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Node.js, video.js"
5/27/2014 12:12:04,"JavaScript Best Practicies, Angular.js",Designer / Developer,5+ years,,,"JavaScript, jQuery, Sass, Less, Responsive Design, Rails"
5/27/2014 12:12:31,"JavaScript Best Practicies, jQuery, Sass, SVG, Responsive Design",Front End Developer,5+ years,"$50,000 - $80,000",A Web Startup,"jQuery, Sass, Responsive Design"
5/27/2014 12:12:43,"JavaScript Best Practicies, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Front End Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Less, Responsive Design"
5/27/2014 12:12:59,"JavaScript Best Practicies, Backbone.js",Full-stack Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, Less, HTML5 Canvas, SVG, Backbone.js"
5/27/2014 12:13:20,"JavaScript Best Practicies, Backbone.js, Angular.js",Full-stack Developer,2-5 years,"$130,000+",A Large Non-web company (50+ Employees),"JavaScript, Backbone.js, Responsive Design, requirejs"
5/27/2014 12:14:22,"JavaScript Best Practicies, Node.js, Responsive Design",Full-stack Developer,<1 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Node.js"
5/27/2014 12:14:17,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, WebGL, WebRTC, Ember.js, D3.js, Responsive Design",Front End Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Sass, SVG, Ember.js, Responsive Design"
5/27/2014 12:14:29,"JavaScript Best Practicies, jQuery, SVG, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Looking for a Job,1-2 years,,Myself,"JavaScript, jQuery, Backbone.js, Node.js, Responsive Design"
5/27/2014 12:14:46,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, WebGL, WebRTC, Responsive Design",Designer,2-5 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"Sass, Responsive Design"
5/27/2014 12:15:52,JavaScript Best Practicies,Designer / Developer,<1 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),
5/27/2014 12:16:00,"JavaScript Best Practicies, Sass, Angular.js, Ember.js, Node.js, Responsive Design",Designer / Developer,2-5 years,"$80,000 - $100,000",A Web Startup,
5/27/2014 12:16:09,Ember.js,Looking for a Job,1-2 years,"$10,000 - $30,000",Myself,
